"Id","Title","Release_date","imdb_rating"
"308369","Me and Earl and the Dying Girl","2015-06-12",""
"11046","Where Eagles Dare","1968-12-04",""
"3558","Girl, Interrupted","1999-12-21",""
"13562","My Man Godfrey","1936-09-02",""
"10161","My Left Foot: The Story of Christy Brown","1989-04-07",""
"1600","The Double Life of V?ronique","1991-05-15",""
"967","Spartacus","1960-10-13",""
"899112","Violent Night","2022-11-30",""
"38234","Undisputed III: Redemption","2010-05-22",""
"16633","Somewhere in Time","1980-10-02",""
"11688","The Emperor's New Groove","2000-12-15",""
"907","Doctor Zhivago","1965-12-22",""
"16219","Gladiator","1992-03-06",""
"12498","Sling Blade","1996-08-30",""
"1954","The Butterfly Effect","2004-01-17",""
"4638","Hot Fuzz","2007-02-14",""
"1579","Apocalypto","2006-12-07",""
"782","Gattaca","1997-09-07",""
"552178","Dark Waters","2019-11-22",""
"15999","Vampire Hunter D: Bloodlust","2000-08-25",""
"9040","Serpico","1973-12-18",""
"43650","The Legend of Sleepy Hollow","1949-10-08",""
"11356","The Odd Couple","1968-05-16",""
"921655","Rescued by Ruby","2022-03-17",""
"16958","The Asphalt Jungle","1950-05-12",""
"315846","Our Little Sister","2015-06-13",""
"8440","Carandiru","2003-03-21",""
"783","Gandhi","1982-11-30",""
"544510","Cyrano, My Love","2018-11-10",""
"451657","Custody","2018-02-07","7.5/10"
"28874","Summer Wars","2009-08-01",""
"9516","Menace II Society","1993-05-26",""
"780382","The Wolf and the Lion","2021-10-13",""
"375262","The Favourite","2018-11-23",""
"736073","Batman: The Long Halloween, Part One","2021-06-21",""
"47848","Scent of a Woman","1974-12-20",""
"11113","My Fair Lady","1964-10-21",""
"382748","Stargirl","2020-03-10",""
"138843","The Conjuring","2013-07-18",""
"59436","Midnight in Paris","2011-05-11",""
"47909","Poetry","2010-05-13",""
"18197","Running on Empty","1988-09-09",""
"592","The Conversation","1974-04-07",""
"5143","Hannah and Her Sisters","1986-02-07",""
"966","The Magnificent Seven","1960-10-12",""
"668742","Father There Is Only One 2","2020-07-29",""
"552095","PAW Patrol: Mighty Pups","2018-10-04",""
"83389","From Up on Poppy Hill","2011-07-16","7.4/10"
"10734","Escape from Alcatraz","1979-06-22",""
"532","A Close Shave","1995-04-10",""
"319","True Romance","1993-09-09",""
"418472","The Wild Pear Tree","2018-08-08",""
"4593","The Discreet Charm of the Bourgeoisie","1972-09-15",""
"1051","The French Connection","1971-10-09",""
"747","Shaun of the Dead","2004-04-09",""
"771077","Rise","2022-03-30",""
"334541","Manchester by the Sea","2016-11-18",""
"382614","The Book of Henry","2017-06-16",""
"423108","The Conjuring: The Devil Made Me Do It","2021-05-25",""
"301528","Toy Story 4","2019-06-19",""
"13393","My Father and My Son","2005-11-18",""
"3482","The Train","1964-09-24",""
"2009","4 Months, 3 Weeks and 2 Days","2007-08-24",""
"339","Night on Earth","1991-12-12",""
"668461","Slumberland","2022-11-18",""
"335984","Blade Runner 2049","2017-10-04",""
"9366","Donnie Brasco","1997-02-27",""
"921","Cinderella Man","2005-06-02",""
"520763","A Quiet Place Part II","2021-05-21",""
"200085","The Flu","2013-08-14",""
"36557","Casino Royale","2006-11-14",""
"25934","To Sir, with Love","1967-06-14",""
"10787","The Invisible Man","1933-11-03",""
"4909","The Day of the Jackal","1973-05-15",""
"1859","Ninotchka","1939-11-23",""
"179144","The Great Beauty","2013-05-21",""
"24807","Mr. Deeds Goes to Town","1936-04-09",""
"10971","A Night to Remember","1958-07-03",""
"1567","I Stand Alone","1998-05-16",""
"400160","The SpongeBob Movie: Sponge on the Run","2020-08-14",""
"364137","All Three of Us","2015-11-04",""
"25468","My Dinner with Andre","1981-10-11","7.7/10"
"13528","Gaslight","1944-05-04",""
"9016","Treasure Planet","2002-11-26",""
"37769","The Second Tragic Fantozzi","1976-04-15",""
"21734","Shadow of a Doubt","1943-01-15",""
"12163","The Wrestler","2008-09-07",""
"11327","Midnight Express","1978-08-31",""
"487558","BlacKkKlansman","2018-08-09",""
"63311","The Skin I Live In","2011-08-17",""
"23383","Hamlet","1948-12-10",""
"15371","Lupin the Third: The Castle of Cagliostro","1979-12-15",""
"5155","Ossessione","1944-04-08",""
"1372","Blood Diamond","2006-12-07",""
"736074","Batman: The Long Halloween, Part Two","2021-07-26",""
"503919","The Lighthouse","2019-10-18",""
"487670","The Death of Superman","2018-07-24",""
"431580","Abominable","2019-09-19",""
"13310","Let the Right One In","2008-10-24",""
"6620","Sabrina","1954-09-10",""
"228326","The Book of Life","2014-10-01",""
"58451","The Adventures of Pinocchio","1972-12-21",""
"39324","Dragon Ball Z: The History of Trunks","1993-02-24",""
"37916","Swept Away","1974-12-18",""
"13384","Kes","1969-11-18",""
"4553","The Machinist","2004-02-09",""
"2000","Aguirre, the Wrath of God","1972-12-29",""
"476968","Paul, Apostle of Christ","2018-03-23",""
"43376","Diary of a Country Priest","1951-02-07",""
"19223","A Pure Formality","1994-05-15",""
"11016","Key Largo","1948-07-16",""
"3529","The Thin Man","1934-05-25",""
"18","The Fifth Element","1997-05-02",""
"615777","Babylon","2022-12-22",""
"4034","That Man from Rio","1964-02-05","7/10"
"571","The Birds","1963-03-28",""
"551332","The Two Popes","2019-11-27",""
"529203","The Croods: A New Age","2020-11-25",""
"470878","I Can Only Imagine","2018-02-14",""
"127585","X-Men: Days of Future Past","2014-05-15",""
"701","Our Hospitality","1923-11-19",""
"831405","Injustice","2021-10-09",""
"736069","Justice Society: World War II","2021-04-27",""
"671295","Blue Miracle","2021-05-27",""
"281957","The Revenant","2015-12-25",""
"16642","Days of Heaven","1978-09-13",""
"15472","The Girl with the Dragon Tattoo","2009-02-27",""
"11344","A Bittersweet Life","2005-03-31",""
"1883","Malcolm X","1992-11-18",""
"848685","The Beasts","2022-07-20",""
"638449","The Last Letter from Your Lover","2021-07-23",""
"18671","Gun Crazy","1950-01-20",""
"176983","One Piece Film: Z","2012-12-15",""
"76696","Sidewalls","2011-02-01",""
"19119","Night and the City","1950-06-15",""
"26280","I Killed My Mother","2009-06-05",""
"1949","Zodiac","2007-03-02",""
"900667","One Piece Film Red","2022-08-06",""
"327331","The Dirt","2019-03-22",""
"61202","Zindagi Na Milegi Dobara","2011-07-15",""
"10110","Empire of the Sun","1987-12-09",""
"9056","Police Story","1985-12-14",""
"881","A Few Good Men","1992-12-11",""
"203101","High School of the Dead: Drifters of the Dead","2011-04-25",""
"9340","The Goonies","1985-06-07",""
"3933","Corpse Bride","2005-09-12",""
"856","Who Framed Roger Rabbit","1988-06-21",""
"375785","Then Came You","2019-02-01",""
"228150","Fury","2014-10-15",""
"33997","Desert Flower","2009-09-24",""
"674324","The Banshees of Inisherin","2022-10-20",""
"43904","L'Atalante","1934-04-24",""
"425909","Ghostbusters: Afterlife","2021-11-11",""
"389015","I, Tonya","2017-12-08",""
"560057","The Sea Beast","2022-06-24",""
"11906","Suspiria","1977-02-01",""
"3116","Midnight Cowboy","1969-05-25",""
"3035","Frankenstein","1931-11-19",""
"502356","The Super Mario Bros. Movie","2023-04-05",""
"41245","Peppermint Candy","2000-01-01",""
"18900","In Cold Blood","1967-12-15",""
"10683","Happiness","1998-10-16",""
"79","Hero","2002-07-22",""
"85350","Boyhood","2014-06-05",""
"11610","Play It Again, Sam","1972-05-04",""
"431937","Mr & Mme Adelman","2017-03-08",""
"11190","The Return","2003-06-25",""
"10604","Zorba the Greek","1964-12-14",""
"337703","The Red Turtle","2016-06-29",""
"332562","A Star Is Born","2018-09-20",""
"176241","Prison Break: The Final Break","2009-05-24",""
"14919","Batman: Mask of the Phantasm","1993-12-25",""
"11970","Hercules","1997-06-20",""
"11544","Lilo & Stitch","2002-06-21",""
"11528","The Sandlot","1993-04-07",""
"601","E.T. the Extra-Terrestrial","1982-06-11",""
"574","The Man Who Knew Too Much","1956-05-16",""
"15097","Fear City: A Family-Style Comedy","1994-03-09",""
"11798","This Is England","2006-09-12",""
"9081","Waking Life","2001-10-19",""
"625","The Killing Fields","1984-11-23",""
"522","Ed Wood","1994-09-27",""
"586940","I Lost My Body","2019-11-06",""
"14736","Love & Basketball","2000-04-21",""
"13353","It's the Great Pumpkin, Charlie Brown","1966-10-27",""
"1786","Au Revoir les Enfants","1987-10-07",""
"442065","The Last Full Measure","2020-01-23",""
"132344","Before Midnight","2013-04-05",""
"11562","Crimes and Misdemeanors","1989-10-13",""
"7735","The Wave","2008-03-11",""
"11178","My Sassy Girl","2001-07-27",""
"500664","Upgrade","2018-05-31",""
"204553","Cold Eyes","2013-07-03",""
"898","Birdman of Alcatraz","1962-07-04",""
"468284","The Insult","2017-09-14",""
"9495","The Crow","1994-05-11",""
"626","Un Chien Andalou","1929-06-05",""
"660000","Lost Illusions","2021-10-20",""
"34106","You Can't Take It with You","1938-09-01",""
"31682","The Incredible Shrinking Man","1957-02-22",""
"28569","Splendor in the Grass","1961-10-10",""
"645886","The Unforgivable","2021-11-24",""
"18925","Facing the Giants","2006-09-29","6.4/10"
"11549","Invasion of the Body Snatchers","1956-02-05",""
"828","The Day the Earth Stood Still","1951-09-28",""
"530","A Grand Day Out","1990-05-18",""
"876716","Ciao Alberto","2021-11-12",""
"718930","Bullet Train","2022-07-03",""
"284293","Still Alice","2014-12-05",""
"11506","The Silence","1963-09-23",""
"345938","The Shack","2017-03-03",""
"15165","Barbie as The Princess & the Pauper","2004-09-28",""
"11202","Patton","1970-01-25",""
"983","The Man Who Would Be King","1975-12-03",""
"32761","The Seventh Continent","1989-10-20",""
"29084","Le Corbeau","1943-09-28",""
"10747","The Outlaw Josey Wales","1976-07-14",""
"475","Bonnie and Clyde","1967-07-18",""
"502897","Leto","2018-06-07",""
"483983","Balloon","2018-09-27",""
"377273","Aquarius","2016-09-01",""
"76758","The Flowers of War","2011-12-15",""
"46326","Port of Shadows","1938-05-17",""
"37903","The White Ribbon","2009-09-24",""
"36685","The Rocky Horror Picture Show","1975-08-14",""
"10451","Eat Drink Man Woman","1994-08-03",""
"9428","The Royal Tenenbaums","2001-10-05",""
"39323","Dragon Ball Z: Bardock - The Father of Goku","1990-10-17",""
"4024","Last Year at Marienbad","1961-05-25",""
"3001","How to Steal a Million","1966-07-13",""
"195","Trouble in Paradise","1932-10-30",""
"16328","Johnny Got His Gun","1971-08-04",""
"16305","Sullivan's Travels","1941-11-30",""
"940","The Lady Vanishes","1938-10-07",""
"69","Walk the Line","2005-09-13",""
"383498","Deadpool 2","2018-05-10",""
"71883","Redline","2010-05-27",""
"27327","Phantom of the Paradise","1974-10-31",""
"8094","The Magdalene Sisters","2002-08-30",""
"7549","Fearless","2006-01-26",""
"923","Dawn of the Dead","1978-09-02",""
"106","Predator","1987-06-12",""
"617653","The Last Duel","2021-10-13",""
"258480","Carol","2015-11-20",""
"1023","Adam's Apples","2005-04-15",""
"786","Almost Famous","2000-09-15",""
"582014","Promising Young Woman","2020-12-13",""
"330459","Rogue One: A Star Wars Story","2016-12-14",""
"260513","Incredibles 2","2018-06-14",""
"429450","Pandora","2016-12-07",""
"13930","For the Birds","2000-11-02",""
"12169","The First Day of the Rest of Your Life","2008-07-23",""
"9075","Black Book","2006-09-14",""
"8740","The Vanishing","1988-10-27",""
"8342","No Man's Land","2001-09-08",""
"523536","Checkered Ninja","2018-12-25",""
"34148","Imitation of Life","1959-10-02",""
"32909","Mulan: Rise of a Warrior","2009-11-26",""
"11030","Zelig","1983-07-15",""
"3009","The Trial","1962-12-21",""
"984","Dirty Harry","1971-12-23",""
"145","Breaking the Waves","1996-05-13",""
"778855","Chickenhare and the Hamster of Darkness","2022-02-16",""
"440298","Cold War","2018-06-08",""
"251516","Kung Fury","2015-05-22",""
"203833","The Book Thief","2013-11-08",""
"10377","My Cousin Vinny","1992-03-13",""
"437586","mid90s","2018-10-19",""
"9665","Glory","1989-12-15",""
"877","Scarface","1932-04-09",""
"379","Miller's Crossing","1990-09-21",""
"10843","After Hours","1985-08-16",""
"109","Three Colors: White","1994-01-26",""
"747059","Burrow","2020-12-25",""
"7500","Sonatine","1993-04-10",""
"648","Beauty and the Beast","1946-10-29",""
"244088","Human Capital","2014-01-09",""
"4689","Sympathy for Mr. Vengeance","2002-03-29",""
"252","Willy Wonka & the Chocolate Factory","1971-06-29",""
"851303","Waiting for Bojangles","2021-10-13",""
"214910","Hwayi: A Monster Boy","2013-10-09",""
"38396","That's Life","1998-12-18",""
"24192","The Gospel According to St. Matthew","1965-03-03",""
"613090","Live Twice, Love Once","2019-09-06",""
"489418","In Safe Hands","2018-12-05",""
"219","Volver","2006-03-17",""
"508947","Turning Red","2022-03-10",""
"166666","3096 Days","2013-02-21",""
"127501","Barfi!","2012-09-13",""
"74879","Once Upon a Time in Anatolia","2011-09-23",""
"11481","Repulsion","1965-06-01",""
"9559","A Perfect World","1993-11-24",""
"41585","Mary Forever","1989-05-03",""
"17809","Fist of Legend","1994-12-22",""
"13403","Hedwig and the Angry Inch","2001-07-20",""
"13377","How the Grinch Stole Christmas!","1966-12-18",""
"8321","In Bruges","2008-02-08",""
"345","Eyes Wide Shut","1999-07-16",""
"186","Lucky Number Slevin","2006-02-24",""
"796185","The Three Musketeers: D'Artagnan","2023-04-05",""
"13689","Peaceful Warrior","2006-03-30",""
"9008","The Insider","1999-10-28",""
"948713","The Last Kingdom: Seven Kings Must Die","2023-04-14",""
"589982","Spread Your Wings","2019-09-12",""
"14257","Delusions of Grandeur","1971-12-08",""
"710356","2 Hearts","2020-10-16",""
"217993","Justice League: War","2014-02-02",""
"194662","Birdman or (The Unexpected Virtue of Ignorance)","2014-10-17",""
"15919","Marty","1955-04-11",""
"11031","This Is Spinal Tap","1984-05-04",""
"2034","Training Day","2001-10-05",""
"1902","Open Your Eyes","1997-12-19",""
"1368","First Blood","1982-10-22",""
"192","The Name of the Rose","1986-09-24",""
"346648","Paddington 2","2017-11-09",""
"37719","A Night at the Opera","1935-11-15",""
"451480","The Guernsey Literary & Potato Peel Pie Society","2018-04-19",""
"239571","The Best of Me","2014-10-15",""
"11421","C.R.A.Z.Y.","2005-05-27",""
"290","Barton Fink","1991-08-01",""
"912598","Bubble","2022-02-14",""
"539617","Big Time Adolescence","2020-03-13",""
"10907","The Adventures of Robin Hood","1938-05-13",""
"175","The Big Blue","1988-05-10",""
"484747","Little Tickles","2018-11-14",""
"11167","Peeping Tom","1960-05-16",""
"154","Star Trek II: The Wrath of Khan","1982-06-04",""
"620","Ghostbusters","1984-06-08",""
"196","Back to the Future Part III","1990-05-25",""
"624479","Superman II: The Richard Donner Cut","2006-11-02",""
"434616","Patients","2017-03-01",""
"5781","That Obscure Object of Desire","1977-08-17",""
"459151","The Boss Baby: Family Business","2021-07-01",""
"27632","Black Sunday","1960-08-11",""
"4584","Sense and Sensibility","1995-12-13",""
"1847","The Long Goodbye","1973-03-07",""
"429617","Spider-Man: Far From Home","2019-06-28",""
"22538","Scott Pilgrim vs. the World","2010-08-12",""
"21832","Neon Genesis Evangelion: Death and Rebirth","1997-03-15",""
"615","The Passion of the Christ","2004-02-25",""
"740658","Catman","2021-05-18",""
"374720","Dunkirk","2017-07-19",""
"293863","The Age of Adaline","2015-04-16",""
"118412","Berserk: The Golden Age Arc II - The Battle for Doldrey","2012-06-23",""
"1407","La Vie en Rose","2007-02-14",""
"1251","Letters from Iwo Jima","2006-12-19",""
"529216","Mirage","2018-11-30",""
"407445","Breathe","2017-10-13",""
"630220","18 Presents","2020-01-02",""
"30368","Stray Dog","1949-10-17",""
"671318","?Y c?mo es ?l?","2022-04-07",""
"5503","The Fugitive","1993-08-06",""
"4174","Spellbound","1945-11-08",""
"457601","Everything You Want","2017-05-11",""
"392536","Lego Scooby-Doo!: Haunted Hollywood","2016-01-28",""
"339403","Baby Driver","2017-06-28",""
"26596","Johnny Guitar","1954-05-26",""
"22584","To Have and Have Not","1945-01-20",""
"11471","A Better Tomorrow","1986-08-02",""
"41498","One Piece: Strong World","2009-12-12",""
"33273","Cell 211","2009-11-06",""
"11841","The 36th Chamber of Shaolin","1978-02-02",""
"3110","Shane","1953-04-23",""
"673595","Maggie Simpson in Playdate with Destiny","2020-02-29",""
"592279","Kalashnikov AK-47","2020-02-20",""
"376290","Miss Sloane","2016-11-25",""
"9028","The Great Silence","1968-02-21",""
"565310","The Farewell","2019-07-12",""
"11704","The Secret of NIMH","1982-06-17",""
"2501","The Bourne Identity","2002-06-14",""
"12837","The Secret Life of Bees","2008-09-17",""
"8741","The Thin Red Line","1998-12-25",""
"10435","Chaplin","1992-12-17",""
"675445","PAW Patrol: The Movie","2021-08-09",""
"451048","Jungle Cruise","2021-07-28",""
"21712","Mind Game","2004-08-07",""
"14092","Ghost in the Shell 2.0","2008-07-12",""
"1813","The Devil's Advocate","1997-10-17",""
"508570","The One and Only Ivan","2020-08-21",""
"340666","Nocturnal Animals","2016-11-04",""
"1677","Ray","2004-10-29",""
"226","Boys Don't Cry","1999-09-02",""
"637534","The Stronghold","2021-08-18",""
"484751","Through the Fire","2018-11-28",""
"364433","They Call Me Jeeg","2016-02-25",""
"458156","John Wick: Chapter 3 - Parabellum","2019-05-15",""
"31767","The Devils","1971-07-01",""
"6114","Bram Stoker's Dracula","1992-11-13",""
"363","Head-On","2004-03-11",""
"26302","The Color of Pomegranates","1969-10-01",""
"24226","The Verdict","1982-12-08",""
"579741","Words Bubble Up Like Soda Pop","2021-07-22",""
"339984","Miracles from Heaven","2016-03-17",""
"319373","Sweet Bean","2015-05-30",""
"290762","Miss You Already","2015-09-12",""
"11978","Men of Honor","2000-09-13",""
"438148","Minions: The Rise of Gru","2022-06-29",""
"74643","The Artist","2011-10-12",""
"37472","Ip Man 2","2010-04-29",""
"227306","Unbroken","2014-12-25",""
"10549","Hamlet","1996-12-25",""
"9509","Man on Fire","2004-04-23",""
"2786","Pierrot le Fou","1965-11-05",""
"507505","El Angel","2018-08-09",""
"292011","Richard Jewell","2019-12-13",""
"37181","About Elly","2009-06-06",""
"603661","The Hating Game","2021-12-09",""
"290542","You're Not You","2014-10-10",""
"206324","Bhaag Milkha Bhaag","2013-07-12",""
"13060","Lifted","2006-12-28",""
"8055","The Reader","2008-01-02",""
"271110","Captain America: Civil War","2016-04-27",""
"261470","Sorry If I Call You Love","2014-06-20",""
"65218","Lemonade Mouth","2011-12-06",""
"18988","The Lion in Winter","1968-10-30",""
"568","Apollo 13","1995-06-30",""
"250219","I Can Quit Whenever I Want","2014-02-06",""
"206487","Predestination","2014-08-28",""
"129670","Nebraska","2013-09-21",""
"16619","Ordinary People","1980-09-19",""
"9299","Thesis","1996-04-11",""
"2690","Irma la Douce","1963-06-05",""
"75233","Oslo, August 31st","2011-08-31",""
"39107","Dragon Ball Z: Fusion Reborn","1995-03-04",""
"18333","Hour of the Wolf","1968-02-19",""
"9549","The Right Stuff","1983-10-20",""
"187","Sin City","2005-04-01",""
"499631","Fabrizio De Andr?: Principe libero","2018-01-23",""
"20558","Scooby-Doo! in Where's My Mummy?","2005-12-13",""
"17136","The Woman in the Window","1944-10-25",""
"8333","The Taking of Pelham One Two Three","1974-10-02",""
"830784","Lyle, Lyle, Crocodile","2022-10-07",""
"466272","Once Upon a Time? in Hollywood","2019-07-24",""
"40823","The Man Who Copied","2003-06-13",""
"634544","Uncle Frank","2020-11-25",""
"165213","New World","2013-02-21",""
"73456","Barbie: Princess Charm School","2011-08-11",""
"16858","All That Jazz","1979-12-16",""
"1523","The Last King of Scotland","2006-01-12",""
"36095","Cure","1997-12-27",""
"6916","Watch Out, We're Mad","1974-03-29",""
"644583","The Mauritanian","2021-02-10",""
"380225","Like Crazy","2016-05-17",""
"190859","American Sniper","2014-12-25","7.3/10"
"13475","Star Trek","2009-05-06",""
"11349","Cape Fear","1962-04-12",""
"615666","A Boy Called Christmas","2021-11-24",""
"1360","Frida","2002-08-29",""
"519010","Pain and Glory","2019-03-22",""
"370172","No Time to Die","2021-09-29","7.3/10"
"26963","The Secret of Kells","2009-02-09",""
"10400","The Hurricane","1999-09-17",""
"874300","South Park: Post COVID: The Return of COVID","2021-12-16",""
"705996","Decision to Leave","2022-06-29",""
"25403","Caro Diario","1993-10-12",""
"9918","Glory Road","2006-01-13",""
"1653","The Motorcycle Diaries","2004-02-06",""
"704","A Hard Day's Night","1964-07-07",""
"395834","Wind River","2017-08-03",""
"4254","Kal Ho Naa Ho","2003-11-27",""
"3085","His Girl Friday","1940-01-18",""
"16372","The Innocents","1961-12-15",""
"11545","Rushmore","1998-12-11",""
"11236","The Secret Garden","1993-08-13",""
"2292","Clerks","1994-09-13",""
"818647","Through My Window","2022-02-04",""
"284052","Doctor Strange","2016-10-25",""
"193756","Lone Survivor","2013-12-24",""
"94329","The Raid","2012-03-23",""
"13754","Tekkonkinkreet","2006-10-21",""
"11829","Trinity Is Still My Name","1971-10-21",""
"10867","Malena","2000-03-16",""
"949423","Pearl","2022-09-16",""
"576845","Last Night in Soho","2021-10-21",""
"271706","Big Fish & Begonia","2016-07-08",""
"72478","Suicide Room","2011-03-04",""
"10784","Cabaret","1972-02-13",""
"114","Pretty Woman","1990-03-23",""
"621013","Chemical Hearts","2020-08-21",""
"265180","Leviathan","2014-09-24",""
"64847","Belladonna of Sadness","1973-06-30",""
"242","The Godfather Part III","1990-12-25",""
"13350","Scooby-Doo and the Ghoul School","1988-10-16",""
"11710","The Enigma of Kaspar Hauser","1974-11-01",""
"3088","My Darling Clementine","1946-10-17",""
"19100","Those Happy Days","2006-06-28",""
"2767","The Lovers on the Bridge","1991-10-16",""
"462","Erin Brockovich","2000-03-17",""
"161","Ocean's Eleven","2001-12-07",""
"101299","The Hunger Games: Catching Fire","2013-11-15",""
"17529","True Grit","1969-06-11",""
"11615","The Life of David Gale","2003-02-21",""
"9462","The Way of the Dragon","1972-06-01",""
"985","Eraserhead","1977-03-19",""
"516486","Greyhound","2020-07-10",""
"1391","Y Tu Mam? Tambi?n","2001-06-08",""
"813258","Monster Pets: A Hotel Transylvania Short","2021-04-02",""
"642885","Hocus Pocus 2","2022-09-27",""
"18917","Alice","1988-08-03",""
"11661","Joyeux Noel","2005-11-09",""
"9461","Enter the Dragon","1973-08-17",""
"8356","An Affair to Remember","1957-07-11",""
"339380","On the Basis of Sex","2018-12-25",""
"4251","Veer-Zaara","2004-11-12",""
"839","Duel","1971-11-13",""
"533444","Waves","2019-11-15",""
"493529","Dungeons & Dragons: Honor Among Thieves","2023-03-23",""
"449406","Vivo","2021-07-30",""
"439584","I Can Quit Whenever I Want 3: Ad Honorem","2017-11-30",""
"686","Contact","1997-07-11",""
"649","Belle de Jour","1967-05-24",""
"58833","So Long, Stooge","1983-12-20",""
"12780","Iron Monkey","1993-09-03",""
"10849","The Purple Rose of Cairo","1985-03-01",""
"2503","The Bourne Ultimatum","2007-08-03",""
"778810","Fireheart","2022-01-16",""
"394117","The Florida Project","2017-10-06",""
"492","Being John Malkovich","1999-10-29",""
"12207","The Legend of Drunken Master","1994-02-03",""
"11901","High Plains Drifter","1973-04-19",""
"3089","Red River","1948-08-26",""
"672208","A Hero","2021-12-15",""
"595975","La Belle ?poque","2019-11-06",""
"416494","Status Update","2018-02-09",""
"273895","Selma","2014-12-25",""
"17654","District 9","2009-08-05",""
"539681","DC League of Super-Pets","2022-07-27",""
"51828","One Day","2011-03-02",""
"46919","Daisies","1966-12-30",""
"76589","Justice League: Doom","2012-02-28",""
"11698","Stroszek","1977-01-12",""
"137106","The Lego Movie","2014-02-06",""
"32499","The Bad and the Beautiful","1952-12-25",""
"31522","A Woman Is a Woman","1961-09-06",""
"1052","Blow-Up","1966-12-18",""
"639","When Harry Met Sally...","1989-07-21",""
"26638","Red Desert","1964-09-04",""
"544401","Cherry","2021-02-26",""
"463257","The Peanut Butter Falcon","2019-08-09",""
"408647","Teen Titans: The Judas Contract","2017-03-31",""
"14638","The Killers","1946-08-28",""
"6644","El Dorado","1966-12-17",""
"828613","About Fate","2022-09-08",""
"350312","B?hubali 2: The Conclusion","2017-04-27","8.2/10"
"164249","Santa Claus Is a Stinker","1985-01-14",""
"49020","Submarine","2011-03-18",""
"758866","Drive My Car","2021-08-18",""
"458131","The Best of Enemies","2019-04-05",""
"451499","School of Life","2017-02-22",""
"312221","Creed","2015-11-25",""
"16646","Russian Ark","2002-05-22",""
"2056","The Station Agent","2003-01-26",""
"233639","Windstorm","2013-03-21",""
"121986","Frances Ha","2013-05-17",""
"621","Grease","1978-07-07",""
"146","Crouching Tiger, Hidden Dragon","2000-07-06",""
"771","Home Alone","1990-11-16",""
"763","Braindead","1992-08-13",""
"454693","The Silent Revolution","2018-03-01",""
"245891","John Wick","2014-10-22",""
"17474","The Man in the Moon","1991-09-30",""
"9470","Kung Fu Hustle","2004-02-10",""
"353081","Mission: Impossible - Fallout","2018-07-13",""
"303483","Once in a Lifetime","2014-12-03",""
"134350","Why Don't You Play in Hell?","2013-09-14",""
"42994","Memories","1995-12-23",""
"1895","Star Wars: Episode III - Revenge of the Sith","2005-05-17",""
"575","The Experiment","2001-03-07",""
"447332","A Quiet Place","2018-04-03",""
"5967","The Umbrellas of Cherbourg","1964-02-19",""
"823","Jin-Roh: The Wolf Brigade","1999-11-17",""
"532321","Re:ZERO -Starting Life in Another World- Memory Snow","2018-10-06",""
"37135","Tarzan","1999-06-18",""
"713","The Piano","1993-05-19",""
"663260","Black Box","2021-09-08",""
"406385","I Can Quit Whenever I Want 2: Masterclass","2017-02-02",""
"387426","Okja","2017-06-28",""
"377263","Frantz","2016-09-07",""
"48282","Ecce Bombo","1978-03-08",""
"25673","A Place in the Sun","1951-06-12",""
"20778","Le Doulos","1962-12-13",""
"4203","Women on the Verge of a Nervous Breakdown","1988-03-25",""
"427","Mon Oncle","1958-05-10",""
"388","Inside Man","2006-03-17",""
"414425","Mudbound","2017-11-16",""
"13199","American Me","1992-03-13",""
"3766","The Lady from Shanghai","1947-12-24",""
"433247","First They Killed My Father","2017-02-18",""
"228203","McFarland, USA","2015-02-20",""
"26900","The Bandit","1996-11-29",""
"25955","Pickup on South Street","1953-05-27",""
"11416","The Mission","1986-09-29",""
"4476","Legends of the Fall","1994-12-16",""
"87827","Life of Pi","2012-11-20",""
"28055","Blood and Black Lace","1964-04-10",""
"1359","American Psycho","2000-04-13",""
"260","The 39 Steps","1935-06-06",""
"176","Saw","2004-10-01",""
"153","Lost in Translation","2003-09-18",""
"427033","This Crazy Heart","2017-12-21",""
"284054","Black Panther","2018-02-13",""
"274109","Palm Trees in the Snow","2015-12-25",""
"43316","All That Heaven Allows","1955-12-25",""
"36208","A Dog's Life","1918-04-14",""
"7294","The Man Without a Past","2002-03-01",""
"491584","Burning","2018-05-17",""
"376867","Moonlight","2016-10-21",""
"14283","The Red Violin","1998-09-10",""
"11700","Smiles of a Summer Night","1955-12-26",""
"7249","Futurama: Bender's Big Score","2007-11-27",""
"2898","As Good as It Gets","1997-12-19",""
"794","The Omen","1976-06-25",""
"1010819","The Little Guy","2022-08-10",""
"890980","God's Crooked Lines","2022-10-06",""
"481432","Happy as Lazzaro","2018-05-31",""
"49361","Don't Torture a Duckling","1972-09-29",""
"38884","Land and Freedom","1995-04-07",""
"489930","Blindspotting","2018-07-20",""
"395991","Only the Brave","2017-09-22",""
"109689","I Want You","2012-06-22",""
"5723","Once","2007-03-23",""
"5123","August Rush","2007-11-21",""
"659959","Summer of 85","2020-07-14",""
"14433","Zulu","1964-01-22",""
"13345","A Chinese Odyssey Part One: Pandora's Box","1995-01-21",""
"250538","The Good Lie","2014-06-27",""
"12716","My Father's Glory","1990-08-29",""
"9385","The Twelve Tasks of Asterix","1976-06-26",""
"2757","Adaptation.","2002-12-06",""
"25866","The Sucker","1965-03-24",""
"9361","The Last of the Mohicans","1992-08-26",""
"8810","Mad Max 2","1981-12-24",""
"755339","Just Another Christmas","2020-12-03",""
"273481","Sicario","2015-09-17",""
